id,title,type,content,datetime,language
1,intrucat atarna de voi,1,verse intrucat atarna de voi traiti in pace cu oricine preaiubitilor nu va razbunati biruiti raul prin bine de ai ajungi sa fi ocarat intoarce te si binecuvanta daca lumea te va prigoni incearca rabdarea ca sfanta suntem nebuni pentru cristos refren nu ne lasam biruiti de rau biruim raul prin bine dar lumea in intelepciunea ei ne numeste nebuni far de folos suntem nebuni pentru cristos verse nimeni sa nu se insele intelepciunea vine de sus cat de greu ar lovi incercarea rascumparati suntem prin isus va indemn dar fratilor pentru cristos sa luptati impreuna cu mine vestind pe cristos si pe el rastignit ca tot ce firesc sa se inchine suntem nebuni pentru cristos refren nu ne lasam biruiti de rau biruim raul prin bine dar lumea in intelepciunea ei ne numeste nebuni far de folos suntem nebuni pentru cristos bridge vestirea crucii nebunie pentru cei ce sunt pe calea pierzarii dar pentru cei ce sunt pe calea mantuirii este puterea lui dumnezeu suntem nebuni pentru cristos,2018-01-10 18:46:03.705195,ro
2,god will make a way,1,god will make way when there seems to be no way em he works in ways we cannot see he will make way for me he will be my guide hold me closely to his side em with love and strength for each new day he will make way he will make way repeat eb eb bb by roadway in the wilderness he leads me eb rivers in the desert will see heaven and earth will fade bm em but his word will still remain he will do something new today god will make way when there seems to be no way em he works in ways we cannot see he will make way for me he will be my guide hold me closely to his side em with love and strength for each new day he will make way he will make way em with love and strength for each new day he will make way he will make way,2018-04-08 21:43:44.565421,en
3,king of glory,1,who is this king of glory that persues me with his love and haunts me with each hearing of his softly spoken words my conscience reminder of forgiveness that need who is this king of glory who offers it to me who is this king of angels blessed prince of peace revealing things of heaven and all its mysteries my spirit s ever longing for his grace in which to stand who this king of glory son of god and son of man choir his name is jesus precious jesus the lord almighty the king of my heart the king of glory who is this king of glory with strength and majesty and wisdom beyond measure the graceous king of kings the lord of earth and heaven the creator of all things who is this king of glory he everything to me the lord of earth and heaven the creator of all things he is the king of glory he everything to me,2018-06-07 23:22:54.413495,en
4,curgi ca un rau de slava,1,curgi ca un rau de slava cu bratul tau dezleaga tu cu putere viata mea in ceasul de pe urma vreau duhul tau sa curga si sa inunde viata mea este un rau ce curge peste noi e vindecare el aduce pe pamant totul ia fiinta unde curge el imi alina setea sufletului meu,2017-03-26 18:43:33.367148,ro
5,inima mea tanjeste,1,inima mea tanjeste dupa curtile tale am sufletul meu suspina dupa al tau locas mi se topesc oasele de dor dupa tine am iar ochii mi plang neincetat privesc spre locul sfant ca sa ti vad puterea si slava am chem bunatatea ta peste viata mea astept in tacere raspunsul tau doamne am vi no nu ntarzia te voi binecuvanta dar toata viata mea am si in numele tau voi ridica mainile lauda ta va fi mereu in gura mea te iubesc domnul meu,2017-03-06 09:45:36.056285,ro
6,dati domnului tot ce-i al lui,1,dati domnului tot ce al lui dati domnului cinste onoare dati domnului lauda numelui sau inchinati va lui in sfintenie vocea tui rasuna cu putere domnul rege in veci,2017-09-26 09:10:38.432365,ro
7,mi se bucura inima-n domnul,1,do fa do do mi se bucura inima domnul lam sol ca puterea mea el naltat fa sol do spre vrajmas gura larg mi deschis do sol sol do cu ajutorul lui mangaiat refren sol fa nimeni nu este asa sfant ca domnul sol fa do nu este alt dumnezeu decat el do rem sol nu stanca asa cum domnul do sol do dumnezeu sfantul lui israel acorduri florin salanta nu vorbiti cu atata ngamfare nu rostiti al mandriei cuvant caci el un dumnezeu care stie cantari tot ce faci pe pamant arcul celor puternici sfarmat si cei slabi cu putere incinsi cei flamanzi au acuma odihna cei satui azi de foame invinsi chiar si aceea ce avea pe nimeni primit fericita copii iar aceea ce avea multime lancezind ramas fara fii,2018-09-23 10:43:50.226746,ro
8,king eternal,1,words and music by charlie hall mercy me traces of rain vol ii copyright generation productions tabbed by tony carver acarfam apex net verse a unto the king eternal a unto the lord immortal a unto the god invisible you alone are wise chorus all glory and honor forever to you oh god a all glory and honor forever to you my king eternal a to you my king eternal a to you my king eternal repeat verse repeat chorus a you alone are wise you alone are my king eternal a you alone are wise you alone are my king eternal a yeah,2017-11-23 11:41:03.425779,en
9,a place at your altar,1,key chorus em gmaj will seek place at your al tar bm asus humbly draw near to you em gmaj will hide myself in your shad ow em a sus worship in spirit and in truth repeat verse bm bm even the swallow has found nest em bsus where she can lay her young bm bm so we are longing to find that rest asus so into your courts we come bbmaj d into your courts we come word and music by gerrit gustafson and gary sadler integrity hosanna music ascap integrity music inc ccli song id memo the symbol is reminder that the chords in parenthesis are only used when repeating the chorus the is used to carry over to the verse,2018-09-23 05:41:06.763928,en
10,a pure heart,1,pure heart public domain dmaj gmaj pure heart that what long for a sus a em a sus heart that follows hard after thee dmaj gmaj pure heart that what long for a sus a gm d heart that follows hard after thee gmaj a sus a heart that hides your word m bm so that sin will not come in em a sus a hart that undivided gm d one you rule and reign gmaj a sus a heart that beats compassion m bm that pleases you my lord em a sus a sweet aroma of worship em a sus a em a sus that rises to your throne robin rascon rrascon compuserve com,2017-09-17 15:57:56.138325,en
11,abba father,1,abba father words and music by cindy rethmeier abba father our loving father we ve come to worship you to say we love you to lift our hands up to you we ve come to worship you am we are your children am em born of your spirit called by your name am chosen by your hand we belong to you mercy vineyard publishing ascap admin by music services,2018-11-20 23:32:42.866183,en
12,abide in me,1,abide in me dsus abide in me abide in me abide in me dsus abide in me abide in me abide in me cause love you and need you yes love you come live in me come rain on me,2017-05-29 07:18:34.273874,en
